DATE,VALUE
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,.
1948-01-01,9.50226
1948-04-01,10.79984
1948-07-01,11.75530
1948-10-01,7.83711
1949-01-01,3.45605
1949-04-01,-0.43972
1949-07-01,-2.21825
1949-10-01,-3.45565
1950-01-01,2.10603
1950-04-01,6.99301
1950-07-01,12.87962
1950-10-01,18.19188
1951-01-01,19.63016
1951-04-01,18.50705
1951-07-01,14.03566
1951-10-01,11.33313
1952-01-01,7.07491
1952-04-01,4.90566
1952-07-01,4.63331
1952-10-01,6.89849
1953-01-01,7.85675
1953-04-01,8.55008
1953-07-01,6.41130
1953-10-01,1.39035
1954-01-01,-0.66924
1954-04-01,-1.42748
1954-07-01,-0.02553
1954-10-01,3.57050
1955-01-01,7.22985
1955-04-01,9.18024
1955-07-01,10.03575
1955-10-01,9.36797
1956-01-01,6.45239
1956-04-01,5.82662
1956-07-01,4.89673
1956-10-01,5.36775
1957-01-01,6.83314
1957-04-01,5.81916
1957-07-01,6.26106
1957-10-01,3.12161
1958-01-01,-0.46749
1958-04-01,0.00000
1958-07-01,1.33250
1958-10-01,5.19235
1959-01-01,9.11614
1959-04-01,10.87140
1959-07-01,7.91042
1959-10-01,5.77538
1960-01-01,6.30014
1960-04-01,3.52919
1960-07-01,3.96040
1960-10-01,2.22936
1961-01-01,0.47856
1961-04-01,2.70868
1961-07-01,4.06593
1961-10-01,7.48475
1962-01-01,9.03096
1962-04-01,8.10908
1962-07-01,7.28617
1962-10-01,5.41609
1963-01-01,4.62030
1963-04-01,4.84567
1963-07-01,5.80709
1963-10-01,6.80150
1964-01-01,7.77260
1964-04-01,7.75562
1964-07-01,7.41085
1964-10-01,6.65852
1965-01-01,7.16734
1965-04-01,7.57932
1965-07-01,8.28522
1965-10-01,10.69588
1966-01-01,10.85929
1966-04-01,10.21300
1966-07-01,9.41082
1966-10-01,7.99379
1967-01-01,6.10811
1967-04-01,5.43855
1967-07-01,5.57992
1967-10-01,5.78512
1968-01-01,7.69504
1968-04-01,10.01057
1968-07-01,9.88922
