age,sex,weight,height,armc
41,1,12.8,91.2,14.3
57,2,14.9,103.9,13.9
35,2,12.1,86.4,14.4
46,1,13.9,96.4,13.5
26,2,8.7,78.5,12.1
57,1,12.1,89.9,13.9
22,1,9.8,79.1,13
55,1,13.7,92.6,13.6
20,1,10.1,77.7,14.5
36,2,11.2,79.8,14.4
23,1,10,78.3,13.8
41,1,14,96,15.1
52,2,15.1,101.7,13.9
18,1,8.8,75.1,13
54,2,13.8,90.1,15.3
18,1,8.7,75.8,13.6
16,1,8.5,74.3,13.4
39,1,12.1,85.6,13.9
31,2,13.1,81.5,15.6
30,2,10.1,79,13.3
44,2,11.6,90,13.6
35,1,12,79.6,15.4
29,2,10.6,82.7,13.6
45,1,13.9,89.1,15.1
19,1,9.1,74.3,14.2
53,1,15.4,99.3,15
17,2,8.7,69.2,15
50,2,12.6,85.4,14.9
24,2,10.1,78.7,15.4
48,1,16.2,98.7,15.2
28,2,10.2,78.3,14
34,2,13.2,84.2,15.9
31,1,11.2,83.2,14
16,1,10,75.6,14.4
15,1,7,69.5,11.8
37,1,12.2,85.5,13.8
20,1,8.8,76.8,13.3
33,1,11,85.5,13.7
30,1,10.5,75.3,14.2
30,1,10.8,84.9,13.8
56,1,14.1,99.2,14.5
51,1,15,98.4,14.6
26,1,9.9,79.1,13
21,1,9.3,76.8,13.5
36,1,10.5,82.3,13.5
58,2,12.3,89.5,13.4
15,1,9.5,75.1,14.3
43,2,16.7,96.4,16
32,1,12,85.5,13.7
16,2,8,71.2,13.3
40,2,13,89.5,14
41,2,11.2,83.2,13.4
15,1,8.1,71.5,12.7
35,2,12.1,85,14.5
35,1,11.8,88.9,13.8
58,2,12,93.8,13.7
45,1,14.3,89.7,15.4
29,2,10,78.8,13.7
46,1,12.4,88.1,13.9
14,2,5.8,63.6,10.9
53,1,16.5,100.4,14.4
36,2,11.8,88.7,13.8
53,1,16.5,103.2,15
13,1,8.2,69.2,13.9
36,1,11.3,81.5,14.2
17,1,8,73.1,13.4
59,2,12.3,91.1,13.8
30,1,9.4,79.5,13.2
31,2,11.1,85.2,13.9
25,2,9.4,80.5,13.1
17,2,9.7,76.3,14
36,1,13,89,14.8
27,1,12.5,84.7,14.5
43,1,13.2,87,14.5
57,2,13.4,94.6,14.2
31,2,10.2,81.8,14
58,2,13.7,96.7,14.4
39,1,10.2,80,13.5
17,2,8.8,75.8,12.5
51,1,12.2,93.9,12.3
17,2,8.2,74.5,12.5
49,1,13.5,94.8,13.5
60,1,13.8,97.2,14
51,1,12.6,87.9,14.2
17,2,6.8,67.7,12.6
40,2,10.5,80.5,13.8
31,1,13,86.5,14.7
21,1,9.7,72.7,14.5
40,2,12.9,82.8,15.5
18,2,7.4,75,11.6
52,2,12.5,92.8,14
13,1,6,68.8,10.9
35,1,11.8,85.5,14.3
30,2,9.2,79.5,12.9
37,1,11.5,86.2,14.2
14,1,8.7,72.3,12.9
18,1,8.9,73.5,13.1
39,1,12.8,89.7,14.8
56,1,14,98,14.2
50,2,14.9,97,16
19,2,7.6,71.6,12.8
50,1,12.1,90.4,13.2
46,1,13.9,94.5,16.2
38,1,11.7,96.6,13
36,1,10.6,80.3,13
47,2,9.1,81.9,12.5
48,2,9.9,84.5,11.8
19,2,8.8,76.4,13.7
60,1,11.9,87.4,14.5
18,2,7.9,74.2,13.4
57,1,12.5,89,14
51,1,14.9,95.8,15
14,2,5.2,62.5,11.1
58,1,13.9,101.4,14.2
36,2,11.5,88,14.6
38,1,9.2,80.8,12.5
49,1,12.4,91.8,13.4
24,1,9.1,74.7,14.4
50,2,10.6,86.8,13.5
31,1,10.3,82.2,13.5
54,1,15.2,100.3,14.7
59,1,16,100.2,16.5
41,1,12.4,87.5,15.1
21,2,8.5,80,12.2
14,2,7.2,73.9,12.1
37,2,14,100,14.5
21,2,7.8,74.2,12.4
53,2,12.7,97.2,13.5
36,1,11.7,90.5,12.6
36,1,8.4,76.2,12.6
30,1,10.1,80,13.2
14,1,5.4,66.8,11
39,1,8.1,75.7,12.7
30,2,9,79.6,13.2
48,2,10.6,85.7,14.5
14,2,7.9,70.7,14.6
20,1,8.2,76.5,13
17,2,7,72.5,12.5
59,1,15.7,100.2,15.2
20,2,7.3,72.3,11.5
60,1,12.4,88.7,15
57,1,15.2,101.2,15.1
16,1,8.4,71.5,14
15,1,8,73.5,13.6
56,2,12.2,89.5,15.3
26,1,8.2,76.3,13.7
14,1,8.3,73.6,14.5
46,1,11.8,84.5,14.9
27,1,12.1,88.7,14.1
39,2,9.7,77.3,14.3
22,1,9.1,83.3,13.2
53,2,11.7,93,14.1
37,1,12.1,93,14.5
39,1,12.2,82.5,15.9
41,1,8,80.5,9.6
15,2,8.6,73.3,13.3
36,1,12.3,83.3,15.7
13,1,7.7,67.1,13.3
48,2,11.9,87,15.1
45,1,11.5,90.3,13.7
24,2,8.5,75.1,13.1
15,2,4.6,58.8,10.7
23,1,9.7,80,13.3
26,2,10.4,83.5,14
34,2,11.2,85.5,13.7
34,1,10.7,82.3,14.5
47,1,12.1,94.5,13
41,1,11,91.2,14.3
27,1,10.6,81.5,13.7
57,2,14.6,101.6,15.1
26,1,10.6,81,15.1
28,2,10.4,82,14
13,2,7.7,73,13.5
42,2,13,96,15
58,2,14.2,92.8,16.2
19,1,9.7,79.4,14.6
35,1,10.4,79.5,14.5
15,2,8.1,71,14
48,2,11,89.5,12.8
51,1,14.2,100.7,15.2
14,1,8.7,75,15.5
27,1,8.5,80,12.3
51,1,13.7,102.3,14.3
37,1,11.6,87.6,15.5
23,1,11.1,82.4,15.5
43,2,11.6,89.6,14.3
18,1,8.4,74.5,14.1
19,2,8,74.4,13.5
19,1,8.1,74.7,13.5
52,1,12,88.6,14.5
25,1,10,80.7,14.5
35,2,10.2,86.5,13.6
48,1,13.4,96.6,14.7
21,2,7.5,73.5,13
30,2,9.9,81.6,13.5
17,1,8.3,74.6,12.8
44,2,10.3,88.5,13.8
23,1,9.6,80.6,13.9
45,1,15,97.7,16.5
38,1,11.7,91.5,14.2
25,2,10.5,83,14.9
25,1,8.2,76,11.5
45,2,10.1,89,12.7
22,2,9.2,76.6,13.9
24,2,9.6,76,13.7
53,2,12.2,92,13.9
37,2,10.8,83,14.4
32,1,12.2,89.6,14.5
37,1,12.3,90.8,14.8
31,2,8.8,76.8,12.5
