subj,week,value
1,1,2.99
1,2,1.81
1,3,1.17
1,4,-0.77
1,5,1.36
1,6,2.73
1,7,0.76
1,8,0.67
2,1,0.11
2,2,2.69
2,3,3.97
2,4,4.69
2,5,4.69
2,6,3.88
2,7,4.63
2,8,8.04
3,1,-0.81
3,2,0.42
3,3,0.43
3,4,-0.26
3,5,0.88
3,6,2.13
3,7,0.26
3,8,-0.35
4,1,-1.02
4,2,0.46
4,3,0.74
4,4,2.43
4,5,-0.37
4,6,0.31
4,7,4.56
4,8,3.31
5,1,0.64
5,2,-0.5
5,3,1.1
5,4,-0
5,5,0.9
5,6,-0.46
5,7,1.96
5,8,2.32
6,1,-1.47
6,2,2.78
6,3,1.79
6,4,3.45
6,5,4.08
6,6,4.02
6,7,2.81
6,8,5.52
7,1,3
7,2,1.78
7,3,0.71
7,4,3.12
7,5,-0.34
7,6,1.83
7,7,1.07
7,8,1.56
8,1,0.42
8,2,0.8
8,3,1.84
8,4,0.94
8,5,0.2
8,6,2.54
8,7,5.6
8,8,3.51
9,1,1.91
9,2,2.06
9,3,1.06
9,4,1.33
9,5,0.54
9,6,3.97
9,7,2.29
9,8,2.13
10,1,3.34
10,2,1.17
10,3,2.13
10,4,3.25
10,5,3.92
10,6,6.16
10,7,5.27
10,8,6.42
11,1,0.21
11,2,2.52
11,3,1.93
11,4,1.95
11,5,1.9
11,6,1.67
11,7,0.92
11,8,0.35
12,1,2.09
12,2,2.25
12,3,1.97
12,4,3.43
12,5,1.47
12,6,2.71
12,7,2.11
12,8,2.38
13,1,0.3
13,2,0.87
13,3,2.61
13,4,1.34
13,5,2.48
13,6,1.42
13,7,1.07
13,8,4.18
14,1,-0.2
14,2,1.39
14,3,1.97
14,4,3.43
14,5,2.51
14,6,3.84
14,7,4.47
14,8,2.1
15,1,-0.75
15,2,-0.55
15,3,-0.05
15,4,0.18
15,5,-0.71
15,6,-0.58
15,7,0.44
15,8,-0.85
16,1,2.02
16,2,1.96
16,3,4.41
16,4,5.77
16,5,5.86
16,6,4.79
16,7,3.24
16,8,6.8
17,1,-0.75
17,2,0.39
17,3,-2.51
17,4,1.19
17,5,0.62
17,6,0.37
17,7,-0.56
17,8,0.82
18,1,0.61
18,2,2.04
18,3,2.11
18,4,2.36
18,5,2.95
18,6,2.62
18,7,4.61
18,8,5.38
19,1,1.78
19,2,-0.41
19,3,-1.62
19,4,-0.1
19,5,0.78
19,6,0.73
19,7,1.94
19,8,0.47
20,1,4.44
20,2,3.63
20,3,5.61
20,4,4.63
20,5,4.26
20,6,6.45
20,7,6.21
20,8,7.58
21,1,0.51
21,2,-1.02
21,3,0.64
21,4,0.52
21,5,0.37
21,6,-0.29
21,7,-0.49
21,8,-0.51
22,1,-1.3
22,2,-0.78
22,3,0.63
22,4,1.93
22,5,2.79
22,6,3
22,7,3.03
22,8,2.86
23,1,3.16
23,2,-0.57
23,3,1.17
23,4,2.2
23,5,2.05
23,6,1.85
23,7,2.64
23,8,2.55
24,1,0.25
24,2,1.64
24,3,3.29
24,4,3.49
24,5,2.28
24,6,2.72
24,7,3.5
24,8,4.04
25,1,0.28
25,2,0.9
25,3,1.08
25,4,-1.41
25,5,0.19
25,6,1.29
25,7,-0.35
25,8,0.3
26,1,1.23
26,2,0.57
26,3,3.22
26,4,2.34
26,5,2.57
26,6,4.37
26,7,3.95
26,8,5.73
27,1,3.49
27,2,2.42
27,3,2.39
27,4,3.73
27,5,2.47
27,6,2.93
27,7,1.67
27,8,1.48
28,1,0.3
28,2,1.57
28,3,3.05
28,4,3.62
28,5,3.04
28,6,3.67
28,7,4.07
28,8,6.06
29,1,0.9
29,2,-0.09
29,3,1.59
29,4,0.03
29,5,1.99
29,6,1.32
29,7,1.16
29,8,0.07
30,1,-0.64
30,2,2.57
30,3,0.94
30,4,2.51
30,5,2.61
30,6,3.81
30,7,6.29
30,8,5.77
31,1,3.09
31,2,3.1
31,3,4.12
31,4,4.48
31,5,4.78
31,6,3.61
31,7,3.18
31,8,4.15
32,1,0.73
32,2,2.07
32,3,3.77
32,4,3.28
32,5,4.84
32,6,4.14
32,7,4.48
32,8,6.84
33,1,-0.15
33,2,0.01
33,3,1.28
33,4,2.6
33,5,-1.02
33,6,-0.09
33,7,-0.13
33,8,0.84
34,1,0.64
34,2,3.38
34,3,1.26
34,4,5.03
34,5,3.61
34,6,2.51
34,7,3.39
34,8,4.45
35,1,1.41
35,2,2.62
35,3,2.7
35,4,1.16
35,5,0.43
35,6,2.46
35,7,2.62
35,8,1.65
36,1,-1.88
36,2,1.24
36,3,0.95
36,4,2.08
36,5,1.96
36,6,1.58
36,7,1.94
36,8,3.88
37,1,-0.03
37,2,1.57
37,3,1.12
37,4,-0.96
37,5,-1.43
37,6,-0.69
37,7,-1.12
37,8,0.97
38,1,1.96
38,2,1.6
38,3,3.9
38,4,1.87
38,5,3.88
38,6,5.43
38,7,3.01
38,8,6.35
39,1,1.82
39,2,0.42
39,3,-0.1
39,4,0.35
39,5,2.63
39,6,0.08
39,7,1.04
39,8,0.36
40,1,2.94
40,2,2.63
40,3,3.98
40,4,3.35
40,5,4.7
40,6,4.66
40,7,7
40,8,6.38
41,1,2.19
41,2,0.78
41,3,3.2
41,4,0.85
41,5,2.74
41,6,2.73
41,7,0.14
41,8,0.96
42,1,3.82
42,2,2.34
42,3,2.09
42,4,6.08
42,5,5
42,6,5.72
42,7,7.12
42,8,7.05
43,1,1.88
43,2,-1.26
43,3,-1.37
43,4,-1.79
43,5,0.98
43,6,-0.67
43,7,1.72
43,8,0.86
44,1,2.79
44,2,3.31
44,3,3.77
44,4,4.86
44,5,5.63
44,6,4.38
44,7,5.21
44,8,4.93
45,1,2.48
45,2,2.71
45,3,2.45
45,4,3.13
45,5,5.23
45,6,3.46
45,7,2.22
45,8,2.81
46,1,3.33
46,2,3.55
46,3,1.96
46,4,5.8
46,5,5.03
46,6,4.69
46,7,4.92
46,8,6.28
47,1,3.22
47,2,4.2
47,3,3.7
47,4,3.85
47,5,4.76
47,6,3.68
47,7,4.26
47,8,4.55
48,1,4.04
48,2,0.03
48,3,2.45
48,4,1.91
48,5,4.5
48,6,5.71
48,7,5.61
48,8,3.09
49,1,-0.79
49,2,1.11
49,3,-0.5
49,4,0.21
49,5,2.41
49,6,0.02
49,7,1.8
49,8,-1.66
50,1,1.81
50,2,1.93
50,3,4.99
50,4,5.19
50,5,3.63
50,6,4.33
50,7,5.88
50,8,5.23
51,1,3.14
51,2,2.56
51,3,2.53
51,4,2.83
51,5,3.11
51,6,2.23
51,7,2.74
51,8,2.51
52,1,1.77
52,2,3.9
52,3,4.29
52,4,5.91
52,5,4.26
52,6,6.74
52,7,3.92
52,8,5.06
53,1,0
53,2,2.08
53,3,1.26
53,4,2.11
53,5,0.79
53,6,1.42
53,7,2.58
53,8,2.8
54,1,2.09
54,2,1.14
54,3,2.61
54,4,2.71
54,5,5.04
54,6,3.51
54,7,2.91
54,8,3.75
55,1,0.29
55,2,-1.33
55,3,-1.03
55,4,0.33
55,5,-0.21
55,6,0.9
55,7,-0.08
55,8,1.76
56,1,0.6
56,2,0.16
56,3,1.7
56,4,2.84
56,5,2.13
56,6,4.62
56,7,5.23
56,8,4.45
57,1,1.32
57,2,2.49
57,3,1.71
