Litter Number,Sex,PD ears,PD eyes,PD pivot,PD walk
#85,1,4,13,7,11
#85,1,4,13,7,12
#1/2/95/2,1,5,13,7,9
#1/2/95/2,1,5,13,8,10
#5/5/3/83/3-3,1,5,13,8,10
#5/5/3/83/3-3,1,5,14,6,9
#5/4/2/95/2,1,NA,14,5,9
#4/2/95/3-3,1,4,13,6,8
#4/2/95/3-3,1,4,13,7,9
#2/2/95/3-2,1,4,NA,8,10
#1/5/3/83/3-3/2,1,4,NA,NA,9
#1/5/3/83/3-3/2,1,4,NA,7,9
#1/5/3/83/3-3/2,1,4,NA,7,9
#1/5/3/83/3-3/2,1,4,NA,7,9
#1/5/3/83/3-3/2,1,4,NA,7,9
#85,2,4,13,6,11
#1/2/95/2,2,4,13,7,9
#1/2/95/2,2,4,13,7,10
#1/2/95/2,2,5,13,8,10
#1/2/95/2,2,5,13,8,10
#1/2/95/2,2,5,13,6,10
#5/5/3/83/3-3,2,5,13,8,10
#5/5/3/83/3-3,2,5,14,7,10
#5/5/3/83/3-3,2,5,14,8,10
#5/4/2/95/2,2,NA,14,7,10
#5/4/2/95/2,2,NA,14,7,10
#5/4/2/95/2,2,NA,14,7,10
#4/2/95/3-3,2,4,13,5,7
#4/2/95/3-3,2,4,13,7,9
#4/2/95/3-3,2,4,13,6,8
#4/2/95/3-3,2,4,13,7,9
#2/2/95/3-2,2,4,NA,7,10
#2/2/95/3-2,2,4,NA,8,10
#2/2/95/3-2,2,4,NA,8,11
#1/5/3/83/3-3/2,2,4,NA,7,9
#1/5/3/83/3-3/2,2,4,NA,7,9
#1/5/3/83/3-3/2,2,4,NA,7,9
#1/5/3/83/3-3/2,2,4,NA,7,9
#3/83/3-3,1,3,13,4,7
#3/83/3-3,1,3,13,NA,7
#3/83/3-3,1,3,13,5,7
#3/83/3-3,1,3,12,5,8
#3/83/3-3,1,4,13,7,9
#2/95/3,1,4,13,6,9
#2/95/3,1,3,13,4,8
#2/95/3,1,3,13,4,8
#2/95/3,1,3,12,6,8
